ExchangeCode,ShortName
LANDMARK,LANCAR
MARINE,MARELE
M&MFIN,MAHFIN
AHL,ABAHOL
BLKASHYAP,BLKASH
VISASTEEL,VISST
ANDHRAPET,ANDPET
HDFC,HDFC
NITCO,NITLIM
IEL,INDENT
CENTURYPLY,CENPLY
KEI,KEIIND
DOLPHINOFF,DOLOFF
MANPASAND,MANBEV
NITINFIRE,NITFIR
ORTEL,ORTCOM
DOLLEX,DOLAGR
HDFCBANK,HDFBAN
AKG-RE,AKGRE1
SOLARINDS,SOLIN
GALLANTT,GALMET
ARIHANTACA,ARIACA
VAKRANGEE,VAKRAN
UMA,UMACON
MALUPAPER,MALPAP
KFINTECH,KFITEC
HEG,HEG
MURLIIND,MURAGR
SGL,STLGLO
UTTAMSUGAR,UTTSUG
SDBL,SOMDIS
KKCL,KEWKIR
ROHITFERRO,ROHFER
BHAGERIA,BHAGIN
SUNTV,SUNTV
GPIL,GODPOW
585GS2030,585L30
APCL-RE,ANJRE1
RSYSTEMS,RSYSTE
SGBN28VIII,SGBT45
JETAIRWAYS,JETAIR
EMKAY,EMKGLO
ELIN,ELIELE
KELLTONTEC,KELTEC
IBULHSGFIN,IBHN77
LOKESHMACH,LOKMAC
IBULHSGFIN,IBHN78
BALPHARMA,BALPHA
IBULHSGFIN,IBHN79
SHIVAUM,SHIAUM
IBULHSGFIN,IBHN80
RATNAMANI,RATMET
IBULHSGFIN,IBHN81
KAMDHENU,KAMLIM
PRICOL-RE,PRIRE1
IBULHSGFIN,IBHN82
PIONEEREMB,PIOEMB
IBULHSGFIN,IBHN83
GTNTEX,GTNTE
IBULHSGFIN,IBHN84
HEROMOTOCO,HERHON
IBULHSGFIN,IBHN85
IBULHSGFIN,IBHN86
IBULHSGFIN,IBHN87
JKLAKSHMI,JKLAKS
IBULHSGFIN,IBHN88
PFOCUS,PRIFOC
IBULHSGFIN,IBHN89
ALLCARGO,ALLLOG
MOXSH,MOXOVE
AKASH,AKAINF
MUNJALAU,MUNAUT
GAL-RE,GYSRE1
EMAMILTD,EMALIM
NECCLTD,NOREAS
HOMESFY,HOMREA
GMRINFRA,GMRINF
AMJUMBO,AMJUM
VIDHIING,VIDDYE
TECHM,TECMAH
ATNINTER,ATNINT
AVONMORE,ALLCAP
GRINDWELL,GRINOR
RAMANEWS,SHRAMA
