"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"17224","OPTCUR","JPYINR","OPTION","26-Sep-2023",53.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.62,8.255,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.4375,"JPYINR"
"17226","OPTCUR","JPYINR","OPTION","26-Sep-2023",53.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.395,8.02,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.2075,"JPYINR"
"17228","OPTCUR","JPYINR","OPTION","26-Sep-2023",53.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.1725,7.7875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.98,"JPYINR"
"17230","OPTCUR","JPYINR","OPTION","26-Sep-2023",54,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.9525,7.5525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.7525,"JPYINR"
"17232","OPTCUR","JPYINR","OPTION","26-Sep-2023",54.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.735,7.325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.53,"JPYINR"
"17234","OPTCUR","JPYINR","OPTION","26-Sep-2023",54.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.52,7.095,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.3075,"JPYINR"
"17236","OPTCUR","JPYINR","OPTION","26-Sep-2023",54.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.3075,6.8675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.0875,"JPYINR"
"17238","OPTCUR","JPYINR","OPTION","26-Sep-2023",55,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",5.1,6.64,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.87,"JPYINR"
"17240","OPTCUR","JPYINR","OPTION","26-Sep-2023",55.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.8925,6.4175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.655,"JPYINR"
"17242","OPTCUR","JPYINR","OPTION","26-Sep-2023",55.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.6925,6.1975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.445,"JPYINR"
"17244","OPTCUR","JPYINR","OPTION","26-Sep-2023",55.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.4925,5.9775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.235,"JPYINR"
"17246","OPTCUR","JPYINR","OPTION","26-Sep-2023",56,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.2975,5.7625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.03,"JPYINR"
